A             2303.443 5622.903 149.307 2302.854 5623.223 148.856 1.0
B             2474.753 5830.133 114.434 2474.540 5829.768 114.844 1.0
C             2748.516 5313.559 109.125 2748.808 5314.058 109.855 1.0
(2a+3b+5c)/10 2577.372 5530.400 118.754
(a+8b+c)/10   2484.998 5757.752 117.390
(6a+2b+2c)/10 2426.719 5602.480 134.296
a             2303.443 5622.903 149.307
b             2474.753 5830.133 114.434
c             2748.516 5313.559 109.125
(a+b)/2       2389.098 5726.518 131.870
(a+c)/2       2525.980 5468.231 129.216
(b+c)/2       2611.635 5571.846 111.779
A*            2302.854 5623.223 148.856
B*            2474.540 5829.768 114.844
C*            2748.808 5314.058 109.855
